freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.719e+01,1.788e+02,6.776e+02,8.736e+02
1.7,5.442e+01,1.343e+02,4.468e+02,6.356e+02
3.4,5.497e+01,4.278e+01,1.239e+02,2.217e+02
5.1,4.975e+01,3.907e+01,7.534e+02,8.422e+02
6.7,4.873e+01,4.119e+01,1.932e+03,2.022e+03
8.4,5.447e+01,4.114e+01,3.057e+03,3.152e+03
10.1,5.843e+01,4.551e+01,4.420e+03,4.524e+03
11.8,5.840e+01,4.679e+01,6.278e+03,6.383e+03
13.5,6.185e+01,4.932e+01,8.996e+03,9.107e+03
15.2,6.269e+01,5.994e+01,1.305e+04,1.318e+04
16.8,5.660e+01,7.801e+01,1.857e+04,1.870e+04
18.5,7.400e+01,8.310e+01,1.479e+04,1.495e+04
20.2,1.011e+02,7.264e+01,9.283e+03,9.457e+03
21.9,1.397e+02,7.378e+01,1.324e+04,1.345e+04
23.6,2.489e+02,7.113e+01,1.771e+04,1.803e+04
25.3,2.817e+02,7.150e+01,2.149e+04,2.184e+04
26.9,1.412e+02,6.233e+01,2.629e+04,2.650e+04
28.6,7.761e+01,5.837e+01,3.241e+04,3.254e+04
30.3,8.482e+01,6.430e+01,3.967e+04,3.982e+04
32.0,9.720e+01,6.313e+01,4.837e+04,4.853e+04
33.7,1.018e+02,5.810e+01,6.009e+04,6.025e+04
35.4,1.109e+02,7.723e+01,7.434e+04,7.453e+04
37.0,1.365e+02,1.245e+02,9.296e+04,9.322e+04
38.7,1.769e+02,2.336e+02,1.172e+05,1.176e+05
40.4,2.115e+02,4.635e+02,1.510e+05,1.517e+05
42.1,2.879e+02,9.024e+02,2.062e+05,2.074e+05
43.8,4.793e+02,1.787e+03,2.811e+05,2.834e+05
45.5,1.230e+03,4.110e+03,4.198e+05,4.252e+05
47.1,3.374e+03,1.098e+04,7.179e+05,7.322e+05
48.8,4.056e+03,2.640e+04,1.141e+06,1.171e+06
50.5,2.276e+03,4.152e+04,1.256e+06,1.300e+06
52.2,1.817e+03,4.993e+04,1.055e+06,1.106e+06
53.9,2.859e+03,6.470e+04,9.438e+05,1.011e+06
55.6,4.398e+03,9.508e+04,1.096e+06,1.195e+06
57.3,6.001e+03,1.479e+05,1.499e+06,1.653e+06
58.9,7.040e+03,2.154e+05,1.832e+06,2.054e+06
60.6,6.725e+03,2.647e+05,1.787e+06,2.058e+06
62.3,5.993e+03,2.816e+05,1.498e+06,1.786e+06
64.0,5.237e+03,2.725e+05,1.162e+06,1.440e+06
65.7,4.879e+03,2.581e+05,9.181e+05,1.181e+06
67.4,4.218e+03,2.345e+05,7.142e+05,9.529e+05
69.0,3.773e+03,2.180e+05,5.572e+05,7.790e+05
70.7,4.184e+03,2.230e+05,4.731e+05,7.003e+05
72.4,4.858e+03,2.368e+05,4.095e+05,6.511e+05
74.1,5.098e+03,2.553e+05,3.452e+05,6.055e+05
75.8,4.723e+03,2.698e+05,2.804e+05,5.550e+05
77.5,4.673e+03,3.082e+05,2.347e+05,5.475e+05
79.1,6.046e+03,4.273e+05,2.427e+05,6.760e+05
80.8,9.202e+03,5.759e+05,2.470e+05,8.321e+05
82.5,1.261e+04,7.057e+05,2.127e+05,9.311e+05
84.2,1.558e+04,8.385e+05,1.813e+05,1.035e+06
85.9,1.737e+04,9.181e+05,1.561e+05,1.092e+06
87.6,1.739e+04,8.938e+05,1.316e+05,1.043e+06
89.2,1.627e+04,7.919e+05,1.112e+05,9.194e+05
90.9,1.466e+04,6.689e+05,9.643e+04,7.800e+05
92.6,1.256e+04,5.656e+05,8.863e+04,6.668e+05
94.3,1.119e+04,4.990e+05,8.694e+04,5.971e+05
96.0,1.044e+04,4.379e+05,8.657e+04,5.349e+05
97.7,9.737e+03,3.816e+05,8.525e+04,4.765e+05
99.3,9.031e+03,3.242e+05,8.271e+04,4.159e+05
101.0,7.658e+03,2.556e+05,7.897e+04,3.422e+05
102.7,8.285e+03,2.114e+05,7.333e+04,2.930e+05
104.4,9.522e+03,1.716e+05,6.293e+04,2.441e+05
106.1,1.087e+04,1.473e+05,5.509e+04,2.133e+05
107.8,1.242e+04,1.513e+05,5.269e+04,2.164e+05
109.4,1.513e+04,1.404e+05,5.106e+04,2.066e+05
111.1,1.803e+04,1.285e+05,4.969e+04,1.962e+05
112.8,1.857e+04,1.419e+05,4.715e+04,2.076e+05
114.5,1.776e+04,1.416e+05,4.571e+04,2.051e+05
116.2,2.057e+04,1.148e+05,4.532e+04,1.807e+05
117.9,1.949e+04,8.795e+04,4.618e+04,1.536e+05
119.6,1.981e+04,6.841e+04,4.685e+04,1.351e+05
121.2,2.495e+04,5.102e+04,4.717e+04,1.231e+05
122.9,2.584e+04,3.963e+04,4.747e+04,1.129e+05
