freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.627e+03,7.486e+01,8.844e+01,1.790e+03
1.5,9.287e+02,7.736e+01,1.156e+02,1.122e+03
3.1,5.782e+01,4.449e+01,6.737e+01,1.697e+02
4.6,3.984e+02,4.818e+01,6.280e+01,5.094e+02
6.2,1.341e+03,4.898e+01,6.122e+01,1.451e+03
7.7,2.232e+03,5.097e+01,6.169e+01,2.345e+03
9.3,3.204e+03,4.872e+01,6.513e+01,3.318e+03
10.8,4.336e+03,5.303e+01,7.500e+01,4.464e+03
12.4,5.657e+03,5.126e+01,7.277e+01,5.781e+03
13.9,7.177e+03,4.665e+01,6.702e+01,7.290e+03
15.5,8.927e+03,5.361e+01,6.349e+01,9.044e+03
17.0,1.088e+04,5.344e+01,6.150e+01,1.100e+04
18.5,1.309e+04,5.283e+01,6.360e+01,1.321e+04
20.1,1.484e+04,5.072e+01,6.095e+01,1.495e+04
21.6,1.625e+04,4.838e+01,6.495e+01,1.636e+04
23.2,1.858e+04,5.432e+01,6.762e+01,1.870e+04
24.7,2.122e+04,6.269e+01,6.459e+01,2.135e+04
26.3,2.441e+04,6.721e+01,6.903e+01,2.454e+04
27.8,2.799e+04,7.335e+01,7.378e+01,2.814e+04
29.4,3.115e+04,7.603e+01,8.059e+01,3.131e+04
30.9,3.594e+04,9.039e+01,7.955e+01,3.611e+04
32.5,4.105e+04,9.831e+01,8.873e+01,4.123e+04
34.0,4.523e+04,1.143e+02,1.202e+02,4.547e+04
35.6,5.212e+04,1.604e+02,1.499e+02,5.243e+04
37.1,6.126e+04,2.247e+02,1.616e+02,6.165e+04
38.6,7.045e+04,2.889e+02,1.808e+02,7.092e+04
40.2,7.679e+04,3.549e+02,2.032e+02,7.735e+04
41.7,7.590e+04,4.097e+02,1.939e+02,7.651e+04
43.3,7.704e+04,4.292e+02,2.486e+02,7.771e+04
44.8,8.525e+04,3.918e+02,3.081e+02,8.595e+04
46.4,9.610e+04,3.892e+02,3.042e+02,9.679e+04
47.9,1.079e+05,4.147e+02,3.137e+02,1.086e+05
49.5,1.191e+05,4.467e+02,3.949e+02,1.199e+05
51.0,1.264e+05,4.656e+02,5.722e+02,1.274e+05
52.6,1.252e+05,4.371e+02,5.549e+02,1.262e+05
54.1,1.294e+05,4.340e+02,5.216e+02,1.303e+05
55.6,1.467e+05,4.982e+02,5.695e+02,1.478e+05
57.2,1.695e+05,6.625e+02,7.038e+02,1.709e+05
58.7,1.950e+05,8.984e+02,9.546e+02,1.969e+05
60.3,2.247e+05,1.209e+03,1.347e+03,2.273e+05
61.8,2.547e+05,1.482e+03,1.625e+03,2.578e+05
63.4,2.885e+05,1.666e+03,1.731e+03,2.919e+05
64.9,3.280e+05,2.130e+03,2.355e+03,3.324e+05
66.5,3.728e+05,2.870e+03,3.609e+03,3.793e+05
68.0,4.177e+05,3.925e+03,5.323e+03,4.270e+05
69.6,4.597e+05,4.848e+03,6.637e+03,4.712e+05
