freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.598e+01,2.837e+03,1.257e+02,3.029e+03
1.6,7.463e+01,1.620e+03,1.232e+02,1.818e+03
3.1,5.108e+01,4.796e+01,6.638e+01,1.654e+02
4.7,5.667e+01,4.185e+02,6.492e+01,5.401e+02
6.2,5.795e+01,1.429e+03,6.241e+01,1.549e+03
7.8,5.555e+01,2.357e+03,5.948e+01,2.472e+03
9.3,5.650e+01,3.369e+03,6.684e+01,3.492e+03
10.9,5.938e+01,4.607e+03,6.770e+01,4.734e+03
12.4,5.859e+01,6.050e+03,6.653e+01,6.176e+03
14.0,5.496e+01,7.788e+03,6.290e+01,7.906e+03
15.5,4.892e+01,9.718e+03,6.142e+01,9.828e+03
17.1,5.069e+01,1.192e+04,6.695e+01,1.204e+04
18.6,5.368e+01,1.470e+04,7.157e+01,1.483e+04
20.2,5.587e+01,1.790e+04,6.938e+01,1.802e+04
21.7,5.078e+01,2.159e+04,6.786e+01,2.171e+04
23.3,4.953e+01,2.635e+04,7.132e+01,2.647e+04
24.8,5.030e+01,3.205e+04,7.258e+01,3.217e+04
26.4,5.735e+01,3.911e+04,7.651e+01,3.925e+04
27.9,7.559e+01,4.523e+04,8.231e+01,4.539e+04
29.5,7.151e+01,4.772e+04,7.975e+01,4.787e+04
31.1,6.260e+01,4.897e+04,8.357e+01,4.912e+04
32.6,6.913e+01,5.130e+04,9.361e+01,5.146e+04
34.2,5.734e+01,5.492e+04,9.021e+01,5.507e+04
35.7,5.803e+01,6.481e+04,8.211e+01,6.495e+04
37.3,7.067e+01,7.506e+04,7.640e+01,7.520e+04
38.8,6.881e+01,8.729e+04,7.668e+01,8.744e+04
40.4,5.683e+01,9.674e+04,7.400e+01,9.687e+04
41.9,7.559e+01,1.057e+05,7.402e+01,1.059e+05
43.5,7.997e+01,1.254e+05,7.154e+01,1.256e+05
45.0,7.593e+01,1.492e+05,8.074e+01,1.493e+05
46.6,1.069e+02,1.757e+05,1.047e+02,1.759e+05
48.1,1.183e+02,2.100e+05,1.370e+02,2.102e+05
49.7,1.121e+02,2.501e+05,1.789e+02,2.504e+05
51.2,1.110e+02,2.844e+05,2.195e+02,2.848e+05
52.8,1.160e+02,3.032e+05,2.766e+02,3.036e+05
54.3,1.275e+02,3.453e+05,3.737e+02,3.458e+05
55.9,1.636e+02,4.246e+05,5.668e+02,4.253e+05
57.4,2.095e+02,5.381e+05,8.428e+02,5.391e+05
59.0,2.552e+02,6.968e+05,1.072e+03,6.981e+05
60.6,2.942e+02,8.570e+05,1.954e+03,8.593e+05
62.1,3.305e+02,1.010e+06,2.616e+03,1.012e+06
63.7,3.839e+02,1.240e+06,2.386e+03,1.243e+06
65.2,4.719e+02,1.601e+06,4.485e+03,1.606e+06
66.8,5.003e+02,2.099e+06,1.192e+04,2.111e+06
68.3,4.394e+02,2.827e+06,3.102e+04,2.859e+06
69.9,5.188e+02,4.086e+06,7.309e+04,4.160e+06
71.4,1.553e+03,6.652e+06,1.742e+05,6.828e+06
73.0,4.240e+03,1.012e+07,3.863e+05,1.051e+07
74.5,6.569e+03,1.236e+07,6.301e+05,1.299e+07
76.1,5.776e+03,1.284e+07,7.142e+05,1.356e+07
77.6,4.511e+03,1.301e+07,6.556e+05,1.367e+07
79.2,4.485e+03,1.269e+07,5.408e+05,1.323e+07
80.7,4.746e+03,1.149e+07,4.380e+05,1.193e+07
82.3,5.086e+03,1.003e+07,3.917e+05,1.043e+07
83.8,5.714e+03,8.855e+06,3.646e+05,9.225e+06
85.4,6.357e+03,7.923e+06,3.462e+05,8.276e+06
86.9,7.112e+03,7.092e+06,3.324e+05,7.431e+06
88.5,8.147e+03,6.403e+06,3.186e+05,6.730e+06
90.1,9.086e+03,5.893e+06,3.128e+05,6.215e+06
91.6,9.891e+03,5.610e+06,3.143e+05,5.934e+06
93.2,1.129e+04,5.465e+06,3.297e+05,5.806e+06
94.7,1.332e+04,5.387e+06,3.344e+05,5.735e+06
96.3,1.691e+04,5.372e+06,3.231e+05,5.712e+06
97.8,2.122e+04,5.404e+06,3.057e+05,5.731e+06
99.4,2.382e+04,5.257e+06,2.876e+05,5.568e+06
100.9,2.732e+04,5.047e+06,2.751e+05,5.349e+06
102.5,3.487e+04,5.011e+06,2.675e+05,5.313e+06
104.0,4.209e+04,5.014e+06,2.580e+05,5.314e+06
105.6,4.828e+04,5.065e+06,2.513e+05,5.364e+06
107.1,5.090e+04,5.040e+06,2.409e+05,5.332e+06
108.7,5.100e+04,4.936e+06,2.279e+05,5.215e+06
110.2,4.995e+04,4.731e+06,2.078e+05,4.989e+06
111.8,5.033e+04,4.611e+06,1.900e+05,4.851e+06
113.3,5.078e+04,4.523e+06,1.790e+05,4.753e+06
114.9,4.947e+04,4.339e+06,1.632e+05,4.552e+06
116.4,4.730e+04,3.978e+06,1.415e+05,4.167e+06
118.0,4.043e+04,3.496e+06,1.168e+05,3.653e+06
119.6,3.138e+04,3.083e+06,9.799e+04,3.212e+06
121.1,2.316e+04,2.538e+06,7.752e+04,2.639e+06
122.7,1.895e+04,2.211e+06,6.142e+04,2.291e+06
124.2,2.159e+04,2.182e+06,5.483e+04,2.258e+06
125.8,2.469e+04,2.211e+06,4.940e+04,2.285e+06
127.3,2.481e+04,2.186e+06,4.100e+04,2.252e+06
128.9,2.610e+04,2.133e+06,2.989e+04,2.189e+06
130.4,3.114e+04,2.104e+06,1.951e+04,2.154e+06
132.0,3.277e+04,1.848e+06,1.735e+04,1.898e+06
133.5,1.664e+04,6.642e+05,1.245e+04,6.933e+05
135.1,1.053e+04,1.408e+05,2.019e+04,1.715e+05
136.6,1.343e+04,1.410e+05,5.592e+04,2.104e+05
138.2,1.553e+04,1.693e+05,1.168e+05,3.017e+05
139.7,1.534e+04,2.054e+05,1.645e+05,3.852e+05
141.3,1.670e+04,2.253e+05,1.715e+05,4.135e+05
142.8,2.261e+04,2.332e+05,1.636e+05,4.194e+05
144.4,3.144e+04,2.117e+05,1.383e+05,3.814e+05
145.9,4.742e+04,1.563e+05,1.002e+05,3.040e+05
147.5,7.819e+04,1.177e+05,7.489e+04,2.708e+05
149.1,1.071e+05,1.144e+05,5.713e+04,2.787e+05
150.6,1.280e+05,1.202e+05,4.539e+04,2.936e+05
152.2,1.457e+05,1.328e+05,3.681e+04,3.153e+05
153.7,1.518e+05,1.537e+05,3.307e+04,3.386e+05
155.3,1.444e+05,1.780e+05,2.939e+04,3.519e+05
156.8,1.291e+05,2.040e+05,2.339e+04,3.565e+05
158.4,1.156e+05,2.541e+05,1.903e+04,3.887e+05
159.9,1.020e+05,3.265e+05,1.754e+04,4.461e+05
161.5,8.842e+04,3.644e+05,1.756e+04,4.704e+05
163.0,6.856e+04,3.640e+05,1.727e+04,4.498e+05
164.6,5.505e+04,3.751e+05,1.876e+04,4.490e+05
166.1,4.947e+04,3.803e+05,1.989e+04,4.496e+05
167.7,4.157e+04,3.865e+05,2.049e+04,4.485e+05
169.2,3.634e+04,3.931e+05,2.029e+04,4.498e+05
170.8,3.204e+04,4.004e+05,1.921e+04,4.516e+05
172.3,2.957e+04,4.101e+05,1.836e+04,4.580e+05
173.9,2.750e+04,4.235e+05,1.758e+04,4.686e+05
175.4,2.487e+04,4.415e+05,1.748e+04,4.838e+05
177.0,2.347e+04,4.608e+05,1.782e+04,5.021e+05
178.6,2.422e+04,4.814e+05,1.799e+04,5.236e+05
180.1,2.506e+04,4.859e+05,1.722e+04,5.282e+05
181.7,2.631e+04,4.546e+05,1.491e+04,4.958e+05
183.2,2.695e+04,4.302e+05,1.364e+04,4.707e+05
184.8,2.515e+04,4.901e+05,1.453e+04,5.298e+05
