freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.505e+00,1.417e+01,1.687e+01,3.555e+01
1.5,2.517e+01,3.178e+01,6.311e+01,1.201e+02
3.0,2.737e+01,2.910e+01,7.190e+01,1.284e+02
4.6,2.625e+01,2.731e+01,7.417e+01,1.277e+02
6.1,2.742e+01,2.947e+01,8.030e+01,1.372e+02
7.6,2.748e+01,3.076e+01,7.685e+01,1.351e+02
9.1,2.895e+01,2.945e+01,7.520e+01,1.336e+02
10.6,2.992e+01,2.691e+01,7.336e+01,1.302e+02
12.2,3.000e+01,2.839e+01,6.992e+01,1.283e+02
13.7,2.841e+01,2.911e+01,7.016e+01,1.277e+02
15.2,2.758e+01,2.804e+01,6.581e+01,1.214e+02
16.7,2.535e+01,2.931e+01,6.955e+01,1.242e+02
18.2,2.589e+01,3.487e+01,7.194e+01,1.327e+02
19.8,2.841e+01,3.622e+01,7.490e+01,1.395e+02
21.3,3.071e+01,4.685e+01,7.502e+01,1.526e+02
22.8,3.554e+01,7.269e+01,7.617e+01,1.844e+02
24.3,5.580e+01,1.353e+02,7.642e+01,2.675e+02
25.8,1.075e+02,2.239e+02,8.302e+01,4.145e+02
27.4,1.463e+02,3.362e+02,8.433e+01,5.668e+02
28.9,1.063e+02,3.628e+02,8.544e+01,5.546e+02
30.4,8.780e+01,6.408e+02,3.627e+02,1.091e+03
31.9,8.441e+01,9.240e+02,2.345e+03,3.353e+03
33.5,6.961e+01,5.758e+02,2.892e+03,3.538e+03
35.0,5.876e+01,5.334e+02,9.319e+02,1.524e+03
36.5,5.899e+01,6.379e+02,3.616e+02,1.059e+03
38.0,6.022e+01,6.600e+02,2.388e+02,9.591e+02
39.5,4.448e+01,6.705e+02,1.887e+02,9.036e+02
41.1,4.431e+01,8.078e+02,1.731e+02,1.025e+03
42.6,4.078e+01,8.984e+02,1.702e+02,1.109e+03
44.1,7.779e+01,1.021e+03,1.630e+02,1.262e+03
45.6,2.046e+02,1.418e+03,1.882e+02,1.811e+03
47.1,3.189e+02,1.968e+03,2.181e+02,2.505e+03
48.7,1.995e+02,3.201e+03,2.649e+02,3.665e+03
50.2,6.114e+01,6.296e+03,3.917e+02,6.749e+03
51.7,4.317e+01,1.270e+04,6.200e+02,1.337e+04
53.2,8.652e+01,2.851e+04,1.127e+03,2.972e+04
54.7,1.123e+02,5.722e+04,1.917e+03,5.925e+04
56.3,1.039e+02,7.255e+04,2.182e+03,7.484e+04
57.8,8.330e+01,5.114e+04,1.501e+03,5.272e+04
59.3,6.379e+01,2.689e+04,7.935e+02,2.775e+04
60.8,5.789e+01,1.544e+04,4.828e+02,1.598e+04
62.3,7.694e+01,9.675e+03,3.476e+02,1.010e+04
63.9,1.649e+02,1.134e+04,3.863e+02,1.189e+04
65.4,2.749e+02,1.374e+04,4.677e+02,1.448e+04
66.9,3.772e+02,1.137e+04,4.691e+02,1.222e+04
68.4,7.421e+02,1.152e+04,6.012e+02,1.286e+04
69.9,1.262e+03,1.350e+04,1.358e+03,1.612e+04
71.5,1.217e+03,1.536e+04,3.247e+03,1.982e+04
73.0,7.242e+02,1.456e+04,6.685e+03,2.197e+04
74.5,4.564e+02,9.327e+03,1.273e+04,2.251e+04
76.0,3.046e+02,4.271e+03,3.017e+04,3.474e+04
77.5,1.692e+02,2.071e+03,4.862e+04,5.086e+04
79.1,9.004e+01,2.610e+03,4.196e+04,4.466e+04
80.6,5.548e+01,3.146e+03,2.684e+04,3.004e+04
82.1,4.536e+01,2.834e+03,1.785e+04,2.073e+04
83.6,4.561e+01,2.319e+03,1.318e+04,1.555e+04
85.2,5.049e+01,1.841e+03,9.850e+03,1.174e+04
86.7,4.752e+01,1.316e+03,6.880e+03,8.243e+03
88.2,4.307e+01,8.561e+02,4.407e+03,5.306e+03
89.7,3.611e+01,6.080e+02,3.611e+03,4.255e+03
91.2,3.288e+01,4.630e+02,3.234e+03,3.730e+03
92.8,3.925e+01,4.884e+02,4.571e+03,5.098e+03
94.3,4.217e+01,7.927e+02,8.700e+03,9.534e+03
95.8,4.043e+01,9.414e+02,9.573e+03,1.055e+04
97.3,3.214e+01,8.097e+02,7.716e+03,8.557e+03
98.8,2.778e+01,6.742e+02,5.736e+03,6.438e+03
100.4,2.884e+01,5.580e+02,4.016e+03,4.602e+03
101.9,3.024e+01,4.791e+02,2.804e+03,3.313e+03
103.4,3.188e+01,4.220e+02,2.078e+03,2.532e+03
104.9,3.683e+01,3.278e+02,1.504e+03,1.869e+03
106.4,3.805e+01,2.594e+02,1.143e+03,1.441e+03
108.0,3.626e+01,2.124e+02,9.725e+02,1.221e+03
109.5,4.008e+01,1.782e+02,8.893e+02,1.108e+03
111.0,3.922e+01,1.547e+02,8.110e+02,1.005e+03
112.5,4.255e+01,1.622e+02,7.646e+02,9.694e+02
114.0,4.259e+01,1.754e+02,6.935e+02,9.114e+02
115.6,3.641e+01,1.667e+02,6.169e+02,8.200e+02
117.1,4.417e+01,1.484e+02,8.300e+02,1.023e+03
118.6,6.485e+01,1.351e+02,8.505e+02,1.050e+03
120.1,5.833e+01,1.139e+02,5.534e+02,7.256e+02
121.6,4.149e+01,9.202e+01,5.051e+02,6.386e+02
123.2,3.837e+01,7.833e+01,5.925e+02,7.092e+02
124.7,3.721e+01,7.331e+01,6.172e+02,7.277e+02
126.2,3.249e+01,8.191e+01,5.451e+02,6.595e+02
127.7,3.061e+01,8.981e+01,4.414e+02,5.618e+02
129.2,3.113e+01,9.125e+01,3.316e+02,4.540e+02
130.8,3.320e+01,8.229e+01,2.745e+02,3.900e+02
132.3,3.261e+01,5.969e+01,2.108e+02,3.031e+02
133.8,3.006e+01,3.398e+01,1.079e+02,1.719e+02
135.3,2.858e+01,2.978e+01,1.018e+02,1.602e+02
136.9,3.079e+01,2.942e+01,1.346e+02,1.948e+02
138.4,3.572e+01,3.114e+01,1.845e+02,2.514e+02
139.9,3.851e+01,3.387e+01,2.717e+02,3.440e+02
141.4,4.383e+01,3.410e+01,3.966e+02,4.745e+02
142.9,5.309e+01,3.784e+01,4.940e+02,5.850e+02
144.5,7.143e+01,4.402e+01,6.346e+02,7.500e+02
146.0,1.033e+02,4.294e+01,1.065e+03,1.211e+03
147.5,1.284e+02,3.620e+01,1.520e+03,1.685e+03
149.0,1.212e+02,2.927e+01,1.200e+03,1.350e+03
150.5,1.226e+02,3.132e+01,7.546e+02,9.085e+02
152.1,1.766e+02,3.595e+01,5.871e+02,7.996e+02
153.6,1.906e+02,3.567e+01,4.094e+02,6.357e+02
155.1,1.478e+02,3.053e+01,2.959e+02,4.742e+02
156.6,1.115e+02,3.029e+01,2.403e+02,3.821e+02
158.1,6.865e+01,2.976e+01,1.888e+02,2.872e+02
159.7,4.594e+01,2.995e+01,1.497e+02,2.256e+02
161.2,3.614e+01,3.185e+01,1.145e+02,1.825e+02
162.7,3.537e+01,3.393e+01,8.881e+01,1.581e+02
164.2,3.321e+01,3.513e+01,8.404e+01,1.524e+02
165.7,3.401e+01,3.752e+01,8.890e+01,1.604e+02
167.3,3.303e+01,3.685e+01,9.664e+01,1.665e+02
168.8,3.265e+01,3.512e+01,1.026e+02,1.704e+02
170.3,2.985e+01,3.500e+01,1.014e+02,1.663e+02
171.8,2.919e+01,3.370e+01,9.381e+01,1.567e+02
173.3,3.264e+01,3.265e+01,8.480e+01,1.501e+02
174.9,3.254e+01,3.004e+01,7.909e+01,1.417e+02
176.4,3.176e+01,2.945e+01,7.603e+01,1.372e+02
177.9,3.247e+01,2.753e+01,8.186e+01,1.419e+02
179.4,3.146e+01,3.014e+01,8.572e+01,1.473e+02
180.9,2.803e+01,3.407e+01,8.810e+01,1.502e+02
182.5,2.745e+01,3.439e+01,7.769e+01,1.395e+02
184.0,2.914e+01,3.011e+01,7.078e+01,1.300e+02
185.5,2.835e+01,2.986e+01,6.937e+01,1.276e+02
187.0,2.702e+01,3.029e+01,7.578e+01,1.331e+02
188.6,2.821e+01,3.070e+01,8.132e+01,1.402e+02
190.1,2.896e+01,2.826e+01,8.195e+01,1.392e+02
191.6,2.936e+01,2.866e+01,7.772e+01,1.357e+02
193.1,3.128e+01,3.062e+01,8.281e+01,1.447e+02
194.6,3.138e+01,3.189e+01,8.833e+01,1.516e+02
196.2,3.304e+01,3.136e+01,8.048e+01,1.449e+02
197.7,3.212e+01,2.916e+01,7.585e+01,1.371e+02
199.2,2.913e+01,2.985e+01,7.803e+01,1.370e+02
