freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.609e+00,4.896e+00,1.412e+01,2.463e+01
1.5,2.605e+01,2.525e+01,7.384e+01,1.251e+02
3.0,2.745e+01,3.002e+01,8.148e+01,1.390e+02
4.6,2.584e+01,2.894e+01,7.896e+01,1.337e+02
6.1,2.695e+01,2.842e+01,8.169e+01,1.371e+02
7.6,2.713e+01,3.025e+01,7.643e+01,1.338e+02
9.1,2.539e+01,3.154e+01,7.543e+01,1.323e+02
10.6,2.730e+01,2.963e+01,7.933e+01,1.363e+02
12.1,2.861e+01,2.998e+01,7.681e+01,1.354e+02
13.7,3.258e+01,3.119e+01,7.947e+01,1.432e+02
15.2,2.968e+01,3.003e+01,8.312e+01,1.428e+02
16.7,2.700e+01,3.013e+01,7.940e+01,1.365e+02
18.2,2.801e+01,2.742e+01,7.690e+01,1.323e+02
19.7,3.195e+01,2.826e+01,7.716e+01,1.374e+02
21.2,3.482e+01,3.020e+01,7.894e+01,1.440e+02
22.8,4.412e+01,3.222e+01,7.838e+01,1.547e+02
24.3,7.489e+01,3.457e+01,7.239e+01,1.818e+02
25.8,1.331e+02,4.649e+01,7.006e+01,2.496e+02
27.3,1.675e+02,5.163e+01,7.755e+01,2.967e+02
28.8,1.789e+02,4.353e+01,7.496e+01,2.974e+02
30.4,1.770e+02,3.515e+01,7.748e+01,2.896e+02
31.9,1.529e+02,3.829e+01,1.101e+02,3.012e+02
33.4,1.470e+02,3.891e+01,1.183e+02,3.042e+02
34.9,1.472e+02,3.247e+01,8.563e+01,2.653e+02
36.4,1.438e+02,3.012e+01,8.022e+01,2.542e+02
37.9,1.499e+02,3.175e+01,8.555e+01,2.672e+02
39.5,2.726e+02,3.271e+01,7.944e+01,3.847e+02
41.0,5.908e+02,3.304e+01,7.714e+01,7.010e+02
42.5,8.260e+02,3.431e+01,7.706e+01,9.374e+02
44.0,1.403e+03,3.176e+01,7.418e+01,1.509e+03
45.5,3.437e+03,4.691e+01,8.165e+01,3.565e+03
47.0,5.707e+03,7.955e+01,8.521e+01,5.872e+03
48.6,3.968e+03,7.672e+01,8.395e+01,4.128e+03
50.1,1.639e+03,6.565e+01,7.900e+01,1.784e+03
51.6,7.100e+02,7.951e+01,8.275e+01,8.723e+02
53.1,7.512e+02,1.529e+02,8.199e+01,9.861e+02
54.6,6.139e+02,2.521e+02,8.672e+01,9.527e+02
56.2,3.933e+02,4.987e+02,9.322e+01,9.852e+02
57.7,2.523e+02,6.660e+02,9.903e+01,1.017e+03
59.2,1.868e+02,3.888e+02,8.624e+01,6.619e+02
60.7,1.301e+02,1.398e+02,7.572e+01,3.457e+02
62.2,9.869e+01,6.598e+01,7.365e+01,2.383e+02
63.7,8.491e+01,6.550e+01,7.400e+01,2.244e+02
65.3,6.322e+01,8.255e+01,7.916e+01,2.249e+02
66.8,4.981e+01,5.019e+01,7.934e+01,1.793e+02
68.3,1.151e+02,4.360e+01,8.214e+01,2.409e+02
69.8,3.636e+02,4.619e+01,1.017e+02,5.115e+02
71.3,6.416e+02,5.496e+01,1.277e+02,8.243e+02
72.8,6.092e+02,6.307e+01,1.420e+02,8.143e+02
74.4,4.752e+02,6.511e+01,1.605e+02,7.008e+02
75.9,3.660e+02,6.132e+01,1.582e+02,5.856e+02
77.4,3.005e+02,6.615e+01,2.162e+02,5.828e+02
78.9,2.484e+02,6.031e+01,2.387e+02,5.474e+02
80.4,2.068e+02,4.822e+01,2.738e+02,5.289e+02
82.0,1.941e+02,4.105e+01,2.823e+02,5.174e+02
83.5,1.979e+02,3.983e+01,2.705e+02,5.083e+02
85.0,2.072e+02,5.054e+01,4.240e+02,6.817e+02
86.5,1.960e+02,7.082e+01,6.546e+02,9.214e+02
