freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.196e+03,4.256e+01,2.685e+01,1.266e+03
1.6,7.866e+02,5.483e+01,6.275e+01,9.042e+02
3.1,1.847e+02,4.283e+01,6.665e+01,2.942e+02
4.7,5.397e+02,4.416e+01,6.832e+01,6.522e+02
6.2,1.454e+03,4.272e+01,6.934e+01,1.566e+03
7.8,2.269e+03,4.272e+01,6.761e+01,2.379e+03
9.3,3.173e+03,4.469e+01,6.298e+01,3.281e+03
10.9,4.209e+03,4.775e+01,6.904e+01,4.326e+03
12.4,5.285e+03,4.497e+01,6.898e+01,5.399e+03
14.0,6.414e+03,4.183e+01,6.200e+01,6.518e+03
15.6,7.833e+03,4.328e+01,6.230e+01,7.938e+03
17.1,9.602e+03,4.648e+01,6.829e+01,9.717e+03
18.7,1.140e+04,5.193e+01,7.261e+01,1.152e+04
20.2,1.359e+04,6.241e+01,6.900e+01,1.372e+04
21.8,1.590e+04,6.603e+01,6.948e+01,1.604e+04
23.3,1.873e+04,7.691e+01,7.429e+01,1.889e+04
24.9,2.160e+04,8.517e+01,7.113e+01,2.176e+04
26.4,2.543e+04,8.482e+01,7.227e+01,2.558e+04
28.0,2.872e+04,7.897e+01,7.430e+01,2.888e+04
29.6,2.963e+04,9.250e+01,6.678e+01,2.979e+04
31.1,3.160e+04,1.037e+02,6.852e+01,3.177e+04
32.7,3.666e+04,1.232e+02,7.152e+01,3.685e+04
34.2,4.264e+04,1.418e+02,8.430e+01,4.286e+04
35.8,5.026e+04,1.870e+02,1.042e+02,5.055e+04
37.3,5.992e+04,2.476e+02,1.316e+02,6.030e+04
38.9,6.990e+04,2.396e+02,1.419e+02,7.028e+04
40.4,7.874e+04,2.001e+02,1.266e+02,7.906e+04
42.0,8.482e+04,2.626e+02,1.201e+02,8.521e+04
43.6,9.380e+04,3.271e+02,1.378e+02,9.426e+04
45.1,1.000e+05,3.437e+02,1.844e+02,1.006e+05
46.7,1.018e+05,2.866e+02,2.119e+02,1.023e+05
48.2,1.067e+05,1.499e+02,1.462e+02,1.070e+05
49.8,1.131e+05,1.270e+02,1.066e+02,1.134e+05
51.3,1.135e+05,2.838e+02,8.573e+01,1.139e+05
52.9,1.121e+05,4.368e+02,1.007e+02,1.126e+05
54.4,1.203e+05,5.670e+02,1.087e+02,1.210e+05
56.0,1.321e+05,7.221e+02,1.384e+02,1.329e+05
57.6,1.426e+05,8.509e+02,1.729e+02,1.436e+05
59.1,1.564e+05,9.661e+02,2.074e+02,1.576e+05
60.7,1.712e+05,1.267e+03,2.892e+02,1.728e+05
62.2,1.838e+05,1.574e+03,3.774e+02,1.857e+05
63.8,1.937e+05,1.768e+03,4.384e+02,1.959e+05
65.3,2.049e+05,2.105e+03,5.057e+02,2.075e+05
66.9,2.174e+05,2.492e+03,5.095e+02,2.204e+05
68.4,2.351e+05,3.011e+03,4.611e+02,2.386e+05
70.0,2.721e+05,3.803e+03,4.009e+02,2.763e+05
71.6,3.485e+05,7.638e+03,7.155e+02,3.569e+05
73.1,4.187e+05,1.550e+04,1.625e+03,4.358e+05
74.7,4.699e+05,1.812e+04,2.113e+03,4.901e+05
76.2,5.306e+05,2.101e+04,2.605e+03,5.542e+05
77.8,5.742e+05,2.598e+04,3.620e+03,6.038e+05
79.3,5.999e+05,3.463e+04,5.688e+03,6.402e+05
80.9,6.232e+05,4.299e+04,7.785e+03,6.740e+05
82.4,6.472e+05,4.694e+04,9.495e+03,7.036e+05
84.0,6.763e+05,5.612e+04,1.190e+04,7.443e+05
85.6,7.193e+05,6.931e+04,1.659e+04,8.052e+05
87.1,8.115e+05,8.679e+04,2.334e+04,9.216e+05
88.7,9.350e+05,1.087e+05,2.991e+04,1.074e+06
90.2,1.033e+06,1.237e+05,3.351e+04,1.191e+06
91.8,1.154e+06,1.421e+05,3.550e+04,1.331e+06
93.3,1.336e+06,1.634e+05,3.821e+04,1.538e+06
94.9,1.548e+06,1.762e+05,3.966e+04,1.764e+06
96.4,1.790e+06,1.673e+05,3.907e+04,1.997e+06
98.0,2.101e+06,1.480e+05,3.867e+04,2.287e+06
99.6,2.515e+06,1.356e+05,4.051e+04,2.691e+06
101.1,3.020e+06,1.307e+05,4.394e+04,3.195e+06
102.7,3.546e+06,1.335e+05,4.568e+04,3.726e+06
104.2,4.128e+06,1.387e+05,4.566e+04,4.313e+06
105.8,4.683e+06,1.344e+05,4.055e+04,4.858e+06
107.3,5.080e+06,1.305e+05,3.353e+04,5.244e+06
108.9,5.173e+06,1.093e+05,2.368e+04,5.306e+06
110.4,4.926e+06,8.597e+04,1.583e+04,5.028e+06
112.0,4.119e+06,7.327e+04,1.187e+04,4.205e+06
113.6,2.753e+06,7.730e+04,9.630e+03,2.840e+06
115.1,1.662e+06,8.592e+04,7.030e+03,1.755e+06
116.7,1.314e+06,9.127e+04,5.229e+03,1.410e+06
118.2,1.144e+06,7.862e+04,3.334e+03,1.226e+06
119.8,9.837e+05,6.018e+04,1.918e+03,1.046e+06
121.3,7.288e+05,4.342e+04,1.965e+03,7.742e+05
122.9,6.328e+05,2.438e+04,2.483e+03,6.597e+05
124.4,6.219e+05,1.177e+04,4.953e+03,6.386e+05
126.0,6.002e+05,6.865e+03,1.153e+04,6.186e+05
127.6,5.487e+05,4.228e+03,2.381e+04,5.768e+05
129.1,4.790e+05,2.548e+03,4.213e+04,5.237e+05
130.7,4.056e+05,2.671e+03,7.195e+04,4.802e+05
132.2,2.988e+05,4.117e+03,9.682e+04,3.997e+05
133.8,1.124e+05,5.744e+03,7.458e+04,1.927e+05
135.3,5.864e+04,8.469e+03,9.521e+04,1.623e+05
136.9,7.484e+04,1.436e+04,1.727e+05,2.619e+05
138.4,1.093e+05,2.416e+04,2.925e+05,4.259e+05
140.0,1.271e+05,3.053e+04,3.536e+05,5.112e+05
141.6,1.050e+05,2.787e+04,2.885e+05,4.214e+05
143.1,7.203e+04,2.031e+04,1.774e+05,2.697e+05
144.7,4.959e+04,1.337e+04,9.822e+04,1.612e+05
146.2,4.091e+04,1.041e+04,6.562e+04,1.169e+05
147.8,3.716e+04,9.304e+03,4.882e+04,9.528e+04
149.3,3.802e+04,8.833e+03,3.837e+04,8.522e+04
150.9,3.961e+04,8.120e+03,3.047e+04,7.820e+04
152.4,4.313e+04,7.868e+03,2.590e+04,7.690e+04
154.0,4.950e+04,7.694e+03,2.405e+04,8.124e+04
155.6,5.730e+04,7.049e+03,2.308e+04,8.743e+04
157.1,6.870e+04,6.014e+03,2.266e+04,9.738e+04
158.7,8.121e+04,5.518e+03,2.279e+04,1.095e+05
160.2,9.358e+04,5.621e+03,2.237e+04,1.216e+05
161.8,1.005e+05,4.842e+03,1.955e+04,1.249e+05
163.3,1.094e+05,4.398e+03,1.694e+04,1.308e+05
164.9,1.259e+05,4.398e+03,1.466e+04,1.449e+05
166.4,1.426e+05,3.901e+03,1.225e+04,1.588e+05
168.0,1.575e+05,3.682e+03,1.034e+04,1.715e+05
169.6,1.688e+05,3.301e+03,8.619e+03,1.808e+05
171.1,1.848e+05,3.562e+03,7.449e+03,1.959e+05
172.7,2.082e+05,4.291e+03,6.976e+03,2.195e+05
174.2,2.306e+05,5.834e+03,6.628e+03,2.430e+05
175.8,2.473e+05,7.741e+03,6.196e+03,2.612e+05
177.3,2.618e+05,8.797e+03,5.716e+03,2.763e+05
178.9,2.710e+05,9.110e+03,5.522e+03,2.856e+05
180.4,2.683e+05,9.124e+03,6.030e+03,2.834e+05
182.0,2.757e+05,9.719e+03,6.143e+03,2.916e+05
183.6,2.866e+05,1.126e+04,5.770e+03,3.036e+05
185.1,2.983e+05,1.481e+04,5.433e+03,3.185e+05
186.7,3.117e+05,1.846e+04,5.376e+03,3.356e+05
188.2,3.299e+05,2.171e+04,5.441e+03,3.571e+05
189.8,3.594e+05,2.508e+04,5.411e+03,3.899e+05
191.3,4.116e+05,2.755e+04,5.117e+03,4.442e+05
192.9,4.817e+05,2.855e+04,4.700e+03,5.150e+05
194.4,5.633e+05,2.847e+04,4.137e+03,5.959e+05
196.0,6.560e+05,2.847e+04,3.595e+03,6.881e+05
197.6,7.754e+05,3.002e+04,3.562e+03,8.089e+05
199.1,9.419e+05,3.496e+04,4.199e+03,9.811e+05
