freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.463e+03,1.163e+02,5.846e+01,1.638e+03
1.5,8.670e+02,1.449e+02,7.852e+01,1.090e+03
3.1,5.534e+01,1.112e+02,6.407e+01,2.306e+02
4.6,3.713e+02,9.862e+01,6.309e+01,5.330e+02
6.2,1.259e+03,1.080e+02,7.203e+01,1.439e+03
7.7,2.066e+03,1.186e+02,7.547e+01,2.260e+03
9.2,2.968e+03,1.211e+02,6.430e+01,3.153e+03
10.8,4.035e+03,1.156e+02,6.209e+01,4.213e+03
12.3,5.290e+03,1.029e+02,6.439e+01,5.457e+03
13.9,6.761e+03,1.042e+02,7.267e+01,6.938e+03
15.4,8.270e+03,1.251e+02,7.255e+01,8.468e+03
17.0,9.078e+03,1.442e+02,6.911e+01,9.291e+03
18.5,1.029e+04,1.431e+02,6.865e+01,1.050e+04
20.0,1.228e+04,1.303e+02,7.441e+01,1.249e+04
21.6,1.449e+04,1.249e+02,7.874e+01,1.469e+04
23.1,1.723e+04,1.322e+02,8.195e+01,1.745e+04
24.7,2.021e+04,1.509e+02,8.997e+01,2.045e+04
26.2,2.339e+04,1.742e+02,1.169e+02,2.368e+04
27.7,2.672e+04,1.867e+02,1.342e+02,2.704e+04
29.3,3.014e+04,2.105e+02,1.492e+02,3.050e+04
30.8,3.392e+04,2.176e+02,1.602e+02,3.429e+04
32.4,3.829e+04,2.359e+02,1.869e+02,3.872e+04
33.9,4.323e+04,2.753e+02,2.211e+02,4.372e+04
35.4,4.839e+04,3.295e+02,2.428e+02,4.896e+04
37.0,5.466e+04,3.666e+02,2.493e+02,5.528e+04
38.5,6.084e+04,4.255e+02,2.214e+02,6.149e+04
40.1,6.617e+04,5.228e+02,1.965e+02,6.689e+04
41.6,7.347e+04,6.301e+02,1.755e+02,7.427e+04
43.2,7.820e+04,6.938e+02,1.512e+02,7.904e+04
44.7,8.263e+04,7.261e+02,1.914e+02,8.355e+04
46.2,9.296e+04,8.077e+02,2.865e+02,9.405e+04
47.8,1.058e+05,8.669e+02,3.711e+02,1.070e+05
49.3,1.114e+05,9.739e+02,4.007e+02,1.128e+05
50.9,1.086e+05,1.084e+03,4.053e+02,1.100e+05
52.4,1.168e+05,1.204e+03,4.185e+02,1.184e+05
53.9,1.326e+05,1.254e+03,4.711e+02,1.344e+05
55.5,1.491e+05,1.401e+03,5.626e+02,1.510e+05
57.0,1.606e+05,1.772e+03,6.675e+02,1.630e+05
58.6,1.768e+05,2.419e+03,7.449e+02,1.800e+05
60.1,2.025e+05,3.293e+03,8.767e+02,2.066e+05
61.7,2.317e+05,4.552e+03,1.103e+03,2.374e+05
63.2,2.638e+05,6.502e+03,1.366e+03,2.716e+05
64.7,2.989e+05,9.427e+03,2.182e+03,3.105e+05
66.3,3.311e+05,1.379e+04,4.286e+03,3.492e+05
67.8,3.519e+05,2.001e+04,8.700e+03,3.806e+05
69.4,3.752e+05,2.477e+04,1.235e+04,4.123e+05
70.9,4.051e+05,2.607e+04,1.288e+04,4.441e+05
72.4,4.455e+05,2.868e+04,1.529e+04,4.895e+05
74.0,4.942e+05,3.477e+04,2.330e+04,5.523e+05
75.5,5.503e+05,4.046e+04,3.338e+04,6.242e+05
77.1,6.179e+05,4.461e+04,4.189e+04,7.044e+05
78.6,6.989e+05,5.006e+04,4.866e+04,7.976e+05
80.1,7.872e+05,5.843e+04,5.494e+04,9.005e+05
81.7,8.635e+05,7.042e+04,6.197e+04,9.959e+05
83.2,9.432e+05,9.123e+04,7.408e+04,1.108e+06
84.8,1.053e+06,1.160e+05,9.430e+04,1.263e+06
86.3,1.172e+06,1.390e+05,1.064e+05,1.417e+06
87.9,1.282e+06,1.532e+05,1.027e+05,1.538e+06
89.4,1.432e+06,1.533e+05,1.015e+05,1.686e+06
90.9,1.676e+06,1.474e+05,1.090e+05,1.933e+06
92.5,1.979e+06,1.362e+05,1.191e+05,2.234e+06
94.0,2.372e+06,1.265e+05,1.348e+05,2.633e+06
95.6,2.890e+06,1.240e+05,1.559e+05,3.170e+06
97.1,3.484e+06,1.341e+05,1.767e+05,3.795e+06
98.6,4.308e+06,1.578e+05,2.107e+05,4.677e+06
100.2,5.562e+06,1.752e+05,2.624e+05,6.000e+06
101.7,7.552e+06,2.004e+05,3.187e+05,8.071e+06
103.3,1.005e+07,2.397e+05,3.833e+05,1.067e+07
104.8,1.144e+07,2.535e+05,3.962e+05,1.209e+07
106.3,1.277e+07,3.012e+05,4.047e+05,1.347e+07
107.9,1.337e+07,3.627e+05,4.144e+05,1.415e+07
109.4,1.290e+07,3.793e+05,3.704e+05,1.365e+07
111.0,1.158e+07,3.342e+05,3.105e+05,1.222e+07
112.5,1.020e+07,2.802e+05,2.632e+05,1.074e+07
114.1,9.355e+06,2.504e+05,2.201e+05,9.825e+06
115.6,9.231e+06,2.953e+05,1.842e+05,9.710e+06
117.1,9.035e+06,3.648e+05,1.605e+05,9.561e+06
118.7,8.590e+06,4.060e+05,1.476e+05,9.144e+06
120.2,7.919e+06,4.284e+05,1.313e+05,8.479e+06
121.8,7.175e+06,4.289e+05,1.184e+05,7.723e+06
123.3,6.528e+06,4.045e+05,1.098e+05,7.043e+06
124.8,5.793e+06,3.469e+05,1.031e+05,6.243e+06
126.4,5.097e+06,3.053e+05,9.909e+04,5.502e+06
127.9,4.617e+06,3.974e+05,1.019e+05,5.116e+06
129.5,4.287e+06,5.148e+05,1.073e+05,4.909e+06
131.0,4.004e+06,5.306e+05,8.891e+04,4.624e+06
132.5,2.644e+06,3.430e+05,4.243e+04,3.029e+06
134.1,4.564e+05,5.541e+04,7.756e+03,5.195e+05
135.6,7.558e+04,6.142e+03,2.893e+03,8.461e+04
137.2,6.316e+04,6.470e+03,3.075e+03,7.270e+04
138.7,5.479e+04,7.674e+03,3.146e+03,6.561e+04
140.3,4.946e+04,9.328e+03,3.050e+03,6.184e+04
141.8,4.546e+04,1.019e+04,2.974e+03,5.862e+04
143.3,4.247e+04,9.249e+03,2.951e+03,5.467e+04
144.9,4.067e+04,7.432e+03,2.830e+03,5.093e+04
146.4,4.092e+04,6.463e+03,2.890e+03,5.027e+04
148.0,4.444e+04,6.251e+03,3.017e+03,5.371e+04
149.5,5.407e+04,6.841e+03,3.212e+03,6.412e+04
151.0,5.585e+04,6.574e+03,3.200e+03,6.562e+04
152.6,5.090e+04,5.771e+03,3.222e+03,5.990e+04
154.1,4.536e+04,5.330e+03,3.586e+03,5.428e+04
155.7,4.169e+04,5.222e+03,3.943e+03,5.086e+04
157.2,3.888e+04,5.572e+03,4.076e+03,4.853e+04
158.8,3.604e+04,6.317e+03,4.383e+03,4.674e+04
160.3,3.319e+04,6.988e+03,4.741e+03,4.492e+04
161.8,3.062e+04,7.538e+03,4.897e+03,4.306e+04
163.4,2.791e+04,8.209e+03,4.817e+03,4.094e+04
164.9,2.598e+04,9.731e+03,4.602e+03,4.031e+04
166.5,2.585e+04,1.177e+04,4.458e+03,4.208e+04
168.0,2.677e+04,1.426e+04,4.488e+03,4.552e+04
169.5,2.896e+04,1.743e+04,4.667e+03,5.105e+04
171.1,3.682e+04,2.469e+04,5.118e+03,6.663e+04
172.6,4.887e+04,3.607e+04,5.682e+03,9.063e+04
174.2,5.086e+04,4.101e+04,5.409e+03,9.728e+04
175.7,4.960e+04,4.362e+04,5.111e+03,9.833e+04
177.2,4.858e+04,4.680e+04,5.151e+03,1.005e+05
178.8,4.670e+04,4.985e+04,5.038e+03,1.016e+05
180.3,4.554e+04,5.317e+04,4.768e+03,1.035e+05
181.9,4.523e+04,5.711e+04,4.523e+03,1.069e+05
183.4,4.446e+04,5.990e+04,4.132e+03,1.085e+05
185.0,4.454e+04,6.151e+04,3.704e+03,1.098e+05
186.5,4.494e+04,6.251e+04,3.388e+03,1.108e+05
188.0,4.560e+04,6.290e+04,3.211e+03,1.117e+05
189.6,4.644e+04,6.177e+04,3.080e+03,1.113e+05
191.1,4.776e+04,6.078e+04,3.166e+03,1.117e+05
192.7,4.943e+04,6.002e+04,3.321e+03,1.128e+05
194.2,5.168e+04,5.779e+04,3.334e+03,1.128e+05
195.7,5.367e+04,5.479e+04,3.355e+03,1.118e+05
197.3,5.369e+04,5.152e+04,3.545e+03,1.088e+05
198.8,5.802e+04,5.196e+04,4.204e+03,1.142e+05
