freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.719e+01,1.778e+02,1.159e+03,1.354e+03
1.5,5.473e+01,1.906e+02,6.988e+02,9.441e+02
3.1,5.516e+01,1.097e+02,7.974e+01,2.446e+02
4.6,5.800e+01,8.885e+01,4.181e+02,5.649e+02
6.2,7.170e+01,1.093e+02,1.376e+03,1.557e+03
7.7,5.980e+01,1.365e+02,2.287e+03,2.484e+03
9.3,5.420e+01,1.328e+02,3.264e+03,3.451e+03
10.8,5.158e+01,1.250e+02,4.494e+03,4.670e+03
12.4,6.177e+01,1.322e+02,6.203e+03,6.397e+03
13.9,7.010e+01,1.354e+02,6.808e+03,7.014e+03
15.5,7.451e+01,1.260e+02,7.098e+03,7.299e+03
17.0,6.900e+01,1.213e+02,8.727e+03,8.917e+03
18.6,6.883e+01,1.106e+02,1.098e+04,1.116e+04
20.1,1.074e+02,1.628e+02,1.308e+04,1.335e+04
21.7,1.184e+02,1.613e+02,1.524e+04,1.552e+04
23.2,1.130e+02,1.327e+02,1.808e+04,1.832e+04
24.8,1.671e+02,1.421e+02,2.164e+04,2.195e+04
26.3,1.825e+02,1.517e+02,2.546e+04,2.580e+04
27.9,1.968e+02,1.700e+02,2.949e+04,2.986e+04
29.4,2.366e+02,1.887e+02,3.457e+04,3.499e+04
31.0,2.736e+02,2.183e+02,4.029e+04,4.078e+04
32.5,3.349e+02,2.529e+02,4.609e+04,4.668e+04
34.1,3.941e+02,2.675e+02,5.276e+04,5.342e+04
35.6,4.209e+02,2.867e+02,6.000e+04,6.071e+04
37.1,4.477e+02,3.745e+02,6.996e+04,7.078e+04
38.7,5.269e+02,4.904e+02,8.031e+04,8.133e+04
40.2,6.713e+02,6.675e+02,9.058e+04,9.192e+04
41.8,9.654e+02,1.026e+03,1.066e+05,1.086e+05
43.3,1.262e+03,1.519e+03,1.217e+05,1.244e+05
44.9,1.235e+03,1.660e+03,1.278e+05,1.307e+05
46.4,1.148e+03,1.523e+03,1.334e+05,1.361e+05
48.0,1.193e+03,1.334e+03,1.476e+05,1.501e+05
49.5,1.186e+03,1.436e+03,1.620e+05,1.646e+05
51.1,1.457e+03,1.800e+03,1.858e+05,1.891e+05
52.6,1.898e+03,2.029e+03,2.275e+05,2.315e+05
54.2,2.351e+03,2.297e+03,2.811e+05,2.857e+05
55.7,2.732e+03,2.739e+03,3.440e+05,3.495e+05
57.3,3.134e+03,3.542e+03,4.150e+05,4.217e+05
58.8,3.741e+03,6.299e+03,5.227e+05,5.327e+05
60.4,5.038e+03,1.030e+04,6.546e+05,6.700e+05
61.9,7.139e+03,1.707e+04,8.303e+05,8.545e+05
63.5,1.105e+04,5.189e+04,1.172e+06,1.235e+06
65.0,1.538e+04,1.235e+05,1.666e+06,1.805e+06
66.6,1.385e+04,1.782e+05,2.074e+06,2.266e+06
