freq,psd_x,psd_y,psd_z,psd_xyz
136.2,3.239e+03,1.515e+04,1.076e+04,2.915e+04
137.7,3.144e+03,1.683e+04,1.094e+04,3.092e+04
139.3,3.262e+03,1.745e+04,1.164e+04,3.234e+04
140.8,3.362e+03,1.792e+04,1.390e+04,3.517e+04
142.4,3.170e+03,2.311e+04,1.821e+04,4.449e+04
143.9,2.748e+03,2.558e+04,2.578e+04,5.411e+04
145.5,2.132e+03,2.588e+04,2.864e+04,5.665e+04
147.0,1.787e+03,3.531e+04,2.070e+04,5.780e+04
148.6,1.528e+03,4.485e+04,1.090e+04,5.727e+04
150.1,1.465e+03,4.409e+04,1.525e+04,6.081e+04
151.7,1.488e+03,3.990e+04,4.067e+04,8.206e+04
153.2,1.606e+03,3.126e+04,5.800e+04,9.087e+04
154.8,1.561e+03,2.450e+04,4.436e+04,7.042e+04
156.3,1.751e+03,1.838e+04,3.586e+04,5.599e+04
157.9,2.181e+03,1.109e+04,4.145e+04,5.472e+04
159.4,2.114e+03,7.022e+03,3.909e+04,4.822e+04
161.0,2.102e+03,5.023e+03,3.318e+04,4.031e+04
162.5,2.020e+03,3.932e+03,2.790e+04,3.385e+04
164.1,2.042e+03,3.467e+03,2.365e+04,2.916e+04
165.6,1.988e+03,3.200e+03,2.185e+04,2.704e+04
167.2,1.742e+03,3.189e+03,2.001e+04,2.494e+04
168.7,1.564e+03,3.181e+03,1.859e+04,2.334e+04
170.2,1.345e+03,2.959e+03,1.874e+04,2.305e+04
171.8,1.499e+03,3.416e+03,2.056e+04,2.548e+04
173.3,1.605e+03,3.993e+03,2.217e+04,2.777e+04
174.9,1.674e+03,4.242e+03,2.196e+04,2.787e+04
176.4,1.780e+03,5.012e+03,2.193e+04,2.872e+04
178.0,1.967e+03,6.824e+03,2.136e+04,3.015e+04
179.5,2.252e+03,9.186e+03,2.000e+04,3.143e+04
181.1,2.272e+03,1.306e+04,1.836e+04,3.369e+04
182.6,2.207e+03,1.971e+04,1.670e+04,3.862e+04
184.2,2.057e+03,3.198e+04,1.464e+04,4.868e+04
185.7,2.081e+03,4.698e+04,1.367e+04,6.273e+04
187.3,2.249e+03,5.689e+04,1.368e+04,7.282e+04
188.8,2.264e+03,6.081e+04,1.389e+04,7.696e+04
190.4,2.394e+03,6.211e+04,1.432e+04,7.883e+04
191.9,2.623e+03,6.255e+04,1.447e+04,7.964e+04
193.5,2.922e+03,6.372e+04,1.477e+04,8.141e+04
195.0,3.706e+03,6.596e+04,1.531e+04,8.498e+04
196.6,4.839e+03,7.192e+04,1.620e+04,9.296e+04
198.1,7.523e+03,8.189e+04,1.776e+04,1.072e+05
199.7,9.594e+03,8.846e+04,1.929e+04,1.173e+05
