freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.430e+03,6.418e+01,6.736e+01,1.561e+03
1.5,8.394e+02,1.074e+02,9.694e+01,1.044e+03
3.1,6.804e+01,7.783e+01,6.976e+01,2.156e+02
4.6,3.873e+02,6.514e+01,6.296e+01,5.154e+02
6.2,1.274e+03,6.309e+01,5.983e+01,1.397e+03
7.7,2.113e+03,5.194e+01,6.844e+01,2.233e+03
9.3,2.924e+03,5.238e+01,7.069e+01,3.047e+03
10.8,3.958e+03,5.703e+01,7.018e+01,4.085e+03
12.3,5.192e+03,5.719e+01,7.035e+01,5.320e+03
13.9,6.633e+03,5.850e+01,6.825e+01,6.760e+03
15.4,7.887e+03,6.309e+01,6.570e+01,8.015e+03
17.0,8.777e+03,6.557e+01,6.528e+01,8.908e+03
18.5,1.013e+04,6.866e+01,6.342e+01,1.026e+04
20.0,1.218e+04,8.196e+01,6.751e+01,1.233e+04
21.6,1.453e+04,9.480e+01,7.862e+01,1.471e+04
23.1,1.705e+04,9.761e+01,7.963e+01,1.722e+04
24.7,1.988e+04,1.035e+02,8.627e+01,2.007e+04
26.2,2.303e+04,1.109e+02,9.231e+01,2.324e+04
27.8,2.620e+04,1.262e+02,9.607e+01,2.642e+04
29.3,2.949e+04,1.344e+02,1.049e+02,2.973e+04
30.8,3.324e+04,1.383e+02,1.157e+02,3.349e+04
32.4,3.753e+04,1.462e+02,1.327e+02,3.781e+04
33.9,4.224e+04,1.730e+02,1.408e+02,4.256e+04
35.5,4.741e+04,2.159e+02,1.674e+02,4.780e+04
37.0,5.365e+04,2.705e+02,1.907e+02,5.411e+04
38.6,5.988e+04,3.336e+02,1.550e+02,6.037e+04
40.1,6.537e+04,3.930e+02,1.235e+02,6.589e+04
41.6,7.282e+04,4.634e+02,1.050e+02,7.339e+04
43.2,7.771e+04,5.465e+02,1.049e+02,7.836e+04
44.7,8.194e+04,6.550e+02,1.552e+02,8.275e+04
46.3,9.140e+04,7.069e+02,1.947e+02,9.230e+04
47.8,1.034e+05,7.062e+02,2.064e+02,1.043e+05
49.3,1.097e+05,7.505e+02,1.946e+02,1.106e+05
50.9,1.079e+05,9.699e+02,1.576e+02,1.091e+05
52.4,1.157e+05,1.128e+03,1.642e+02,1.170e+05
54.0,1.309e+05,1.161e+03,1.919e+02,1.323e+05
55.5,1.462e+05,1.257e+03,2.257e+02,1.477e+05
57.1,1.566e+05,1.542e+03,2.769e+02,1.584e+05
58.6,1.720e+05,2.052e+03,3.282e+02,1.744e+05
60.1,1.970e+05,2.815e+03,3.841e+02,2.002e+05
61.7,2.252e+05,3.944e+03,5.213e+02,2.296e+05
63.2,2.570e+05,5.891e+03,9.487e+02,2.639e+05
64.8,2.919e+05,8.894e+03,1.886e+03,3.027e+05
66.3,3.225e+05,1.290e+04,3.747e+03,3.392e+05
67.9,3.427e+05,1.785e+04,7.452e+03,3.680e+05
69.4,3.630e+05,2.161e+04,1.059e+04,3.952e+05
70.9,3.876e+05,2.576e+04,1.278e+04,4.261e+05
72.5,4.228e+05,2.868e+04,1.517e+04,4.667e+05
74.0,4.660e+05,3.512e+04,2.137e+04,5.225e+05
75.6,5.134e+05,4.480e+04,3.174e+04,5.899e+05
77.1,5.637e+05,5.181e+04,4.076e+04,6.563e+05
78.7,6.138e+05,5.486e+04,4.731e+04,7.160e+05
80.2,6.719e+05,5.806e+04,5.406e+04,7.840e+05
