freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.104e+01,1.525e+02,1.180e+03,1.413e+03
1.5,6.574e+01,1.080e+02,7.064e+02,8.801e+02
3.1,3.359e+01,4.078e+01,7.934e+01,1.537e+02
4.6,3.746e+01,4.928e+01,4.127e+02,4.994e+02
6.2,2.976e+01,4.350e+01,1.319e+03,1.392e+03
7.7,2.512e+01,3.686e+01,2.186e+03,2.248e+03
9.3,2.754e+01,3.637e+01,3.192e+03,3.256e+03
10.8,2.873e+01,4.001e+01,4.493e+03,4.562e+03
12.3,3.258e+01,3.839e+01,6.132e+03,6.203e+03
13.9,3.325e+01,3.784e+01,7.251e+03,7.322e+03
15.4,3.492e+01,3.777e+01,7.264e+03,7.337e+03
17.0,3.885e+01,3.872e+01,8.538e+03,8.616e+03
18.5,3.639e+01,3.936e+01,1.070e+04,1.078e+04
20.1,3.243e+01,4.510e+01,1.317e+04,1.325e+04
21.6,3.153e+01,4.704e+01,1.582e+04,1.590e+04
23.1,3.096e+01,4.352e+01,1.915e+04,1.922e+04
24.7,3.270e+01,4.717e+01,2.330e+04,2.338e+04
26.2,4.065e+01,5.217e+01,2.775e+04,2.784e+04
27.8,4.951e+01,5.177e+01,3.307e+04,3.317e+04
29.3,5.225e+01,6.027e+01,3.876e+04,3.888e+04
30.8,5.657e+01,6.693e+01,4.467e+04,4.480e+04
32.4,5.959e+01,7.338e+01,5.126e+04,5.139e+04
33.9,6.587e+01,7.187e+01,5.860e+04,5.873e+04
35.5,7.856e+01,8.557e+01,6.658e+04,6.675e+04
37.0,8.470e+01,1.220e+02,7.816e+04,7.837e+04
38.6,8.770e+01,1.804e+02,9.204e+04,9.231e+04
40.1,8.437e+01,2.675e+02,1.064e+05,1.067e+05
41.6,9.801e+01,3.901e+02,1.245e+05,1.250e+05
43.2,2.037e+02,4.407e+02,1.343e+05,1.350e+05
44.7,3.722e+02,4.152e+02,1.365e+05,1.372e+05
46.3,3.668e+02,4.257e+02,1.467e+05,1.475e+05
47.8,3.032e+02,4.738e+02,1.706e+05,1.714e+05
49.4,3.006e+02,6.154e+02,1.958e+05,1.968e+05
50.9,2.774e+02,9.216e+02,2.258e+05,2.270e+05
52.4,3.075e+02,1.179e+03,2.714e+05,2.729e+05
54.0,4.582e+02,1.206e+03,3.352e+05,3.369e+05
55.5,7.873e+02,1.687e+03,4.199e+05,4.224e+05
57.1,1.455e+03,3.533e+03,5.183e+05,5.233e+05
58.6,2.793e+03,6.479e+03,6.354e+05,6.446e+05
60.2,4.584e+03,9.670e+03,7.661e+05,7.804e+05
61.7,1.069e+04,2.306e+04,1.021e+06,1.055e+06
63.2,2.880e+04,6.158e+04,1.492e+06,1.582e+06
64.8,5.326e+04,1.094e+05,2.135e+06,2.298e+06
66.3,8.043e+04,1.676e+05,2.902e+06,3.150e+06
67.9,1.016e+05,2.020e+05,3.674e+06,3.978e+06
69.4,1.397e+05,2.532e+05,5.184e+06,5.577e+06
70.9,2.163e+05,3.546e+05,7.148e+06,7.719e+06
72.5,2.890e+05,4.431e+05,7.933e+06,8.665e+06
74.0,3.192e+05,4.855e+05,6.963e+06,7.768e+06
75.6,3.219e+05,5.065e+05,5.507e+06,6.336e+06
77.1,3.178e+05,5.253e+05,4.305e+06,5.148e+06
78.7,3.179e+05,5.593e+05,3.461e+06,4.338e+06
80.2,3.254e+05,6.071e+05,2.787e+06,3.719e+06
81.7,3.322e+05,6.349e+05,2.190e+06,3.157e+06
83.3,3.367e+05,6.463e+05,1.786e+06,2.769e+06
84.8,3.522e+05,6.802e+05,1.518e+06,2.551e+06
86.4,3.666e+05,7.452e+05,1.358e+06,2.470e+06
87.9,3.659e+05,8.370e+05,1.263e+06,2.466e+06
89.5,3.391e+05,9.064e+05,1.159e+06,2.405e+06
91.0,2.809e+05,8.949e+05,1.041e+06,2.217e+06
92.5,2.016e+05,8.059e+05,9.179e+05,1.925e+06
94.1,1.122e+05,6.158e+05,8.249e+05,1.553e+06
95.6,5.599e+04,4.000e+05,7.695e+05,1.225e+06
97.2,4.055e+04,2.908e+05,7.106e+05,1.042e+06
98.7,4.261e+04,2.406e+05,6.449e+05,9.281e+05
100.3,5.171e+04,2.016e+05,5.906e+05,8.439e+05
101.8,4.576e+04,1.699e+05,5.373e+05,7.530e+05
103.3,3.869e+04,1.415e+05,4.662e+05,6.464e+05
