freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.698e+01,2.072e+02,1.320e+03,1.604e+03
1.5,6.440e+01,1.439e+02,7.861e+02,9.944e+02
3.1,2.826e+01,4.798e+01,7.188e+01,1.481e+02
4.6,3.233e+01,5.732e+01,4.107e+02,5.003e+02
6.2,3.772e+01,5.148e+01,1.411e+03,1.501e+03
7.7,3.574e+01,4.995e+01,2.263e+03,2.349e+03
9.2,3.193e+01,4.405e+01,3.188e+03,3.264e+03
10.8,2.914e+01,4.973e+01,4.489e+03,4.568e+03
12.3,3.173e+01,4.872e+01,6.137e+03,6.218e+03
13.9,3.913e+01,5.292e+01,7.223e+03,7.315e+03
15.4,4.076e+01,5.177e+01,7.145e+03,7.237e+03
17.0,4.185e+01,5.376e+01,8.472e+03,8.567e+03
18.5,3.767e+01,4.753e+01,1.077e+04,1.086e+04
20.0,3.217e+01,4.990e+01,1.320e+04,1.328e+04
21.6,3.154e+01,5.139e+01,1.597e+04,1.606e+04
23.1,3.283e+01,4.937e+01,1.952e+04,1.961e+04
24.7,3.843e+01,5.285e+01,2.367e+04,2.376e+04
26.2,4.539e+01,5.069e+01,2.805e+04,2.815e+04
27.7,4.868e+01,5.199e+01,3.317e+04,3.327e+04
29.3,5.233e+01,6.910e+01,3.892e+04,3.904e+04
30.8,6.200e+01,7.991e+01,4.516e+04,4.530e+04
32.4,6.683e+01,8.292e+01,5.173e+04,5.188e+04
33.9,7.644e+01,8.876e+01,5.918e+04,5.934e+04
35.5,8.829e+01,1.004e+02,6.752e+04,6.771e+04
37.0,8.712e+01,1.277e+02,7.990e+04,8.011e+04
38.5,8.005e+01,1.696e+02,9.400e+04,9.425e+04
40.1,7.551e+01,2.558e+02,1.084e+05,1.088e+05
41.6,8.541e+01,3.630e+02,1.259e+05,1.264e+05
43.2,1.543e+02,4.382e+02,1.362e+05,1.368e+05
44.7,2.859e+02,4.073e+02,1.404e+05,1.411e+05
46.2,2.886e+02,3.901e+02,1.515e+05,1.522e+05
47.8,2.668e+02,4.423e+02,1.765e+05,1.772e+05
49.3,2.656e+02,5.545e+02,2.020e+05,2.028e+05
