freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.009e+01,1.846e+02,1.350e+03,1.594e+03
1.5,5.833e+01,1.377e+02,7.946e+02,9.907e+02
3.1,3.144e+01,5.234e+01,6.707e+01,1.509e+02
4.6,3.218e+01,5.466e+01,3.935e+02,4.803e+02
6.2,2.838e+01,5.227e+01,1.345e+03,1.426e+03
7.7,2.872e+01,5.012e+01,2.219e+03,2.298e+03
9.3,2.684e+01,5.263e+01,3.202e+03,3.282e+03
10.8,2.961e+01,5.076e+01,4.583e+03,4.663e+03
12.4,3.207e+01,5.519e+01,6.029e+03,6.117e+03
13.9,3.537e+01,5.585e+01,7.217e+03,7.308e+03
15.5,4.206e+01,5.111e+01,7.768e+03,7.861e+03
17.0,4.846e+01,5.142e+01,8.753e+03,8.853e+03
18.5,5.203e+01,5.045e+01,1.110e+04,1.120e+04
20.1,5.349e+01,5.381e+01,1.393e+04,1.403e+04
21.6,5.966e+01,6.300e+01,1.657e+04,1.669e+04
23.2,6.790e+01,6.459e+01,1.950e+04,1.963e+04
24.7,7.179e+01,6.015e+01,2.325e+04,2.338e+04
26.3,9.008e+01,5.883e+01,2.756e+04,2.771e+04
27.8,1.101e+02,6.978e+01,3.254e+04,3.272e+04
29.4,1.225e+02,7.878e+01,3.813e+04,3.833e+04
30.9,1.306e+02,8.335e+01,4.449e+04,4.470e+04
32.4,1.542e+02,1.018e+02,5.186e+04,5.211e+04
34.0,1.731e+02,1.105e+02,6.032e+04,6.061e+04
35.5,1.903e+02,1.495e+02,6.961e+04,6.995e+04
37.1,2.224e+02,2.081e+02,8.145e+04,8.188e+04
38.6,2.536e+02,2.496e+02,9.336e+04,9.386e+04
40.2,2.610e+02,2.733e+02,1.054e+05,1.059e+05
41.7,3.184e+02,2.826e+02,1.216e+05,1.222e+05
43.3,6.049e+02,2.956e+02,1.320e+05,1.329e+05
44.8,7.946e+02,2.829e+02,1.400e+05,1.410e+05
46.4,6.674e+02,2.724e+02,1.526e+05,1.535e+05
47.9,7.241e+02,3.260e+02,1.746e+05,1.756e+05
49.4,1.045e+03,4.212e+02,2.049e+05,2.063e+05
51.0,1.544e+03,7.081e+02,2.395e+05,2.418e+05
52.5,1.817e+03,1.042e+03,2.895e+05,2.923e+05
54.1,2.032e+03,1.075e+03,3.601e+05,3.632e+05
55.6,2.746e+03,1.169e+03,4.461e+05,4.500e+05
57.2,3.962e+03,2.064e+03,5.435e+05,5.495e+05
58.7,6.502e+03,4.676e+03,6.856e+05,6.968e+05
60.3,9.921e+03,8.336e+03,8.368e+05,8.551e+05
61.8,1.569e+04,1.446e+04,1.053e+06,1.083e+06
63.4,3.222e+04,4.087e+04,1.505e+06,1.578e+06
64.9,5.562e+04,8.782e+04,2.165e+06,2.308e+06
66.4,8.131e+04,1.480e+05,3.004e+06,3.233e+06
68.0,1.102e+05,1.962e+05,4.059e+06,4.365e+06
69.5,1.571e+05,2.571e+05,5.998e+06,6.412e+06
71.1,2.283e+05,3.841e+05,8.401e+06,9.013e+06
72.6,2.928e+05,5.046e+05,9.777e+06,1.057e+07
74.2,3.186e+05,5.672e+05,9.325e+06,1.021e+07
75.7,2.997e+05,5.966e+05,7.672e+06,8.568e+06
77.3,2.629e+05,6.124e+05,5.827e+06,6.702e+06
78.8,2.325e+05,6.253e+05,4.383e+06,5.241e+06
80.3,2.099e+05,6.316e+05,3.285e+06,4.127e+06
81.9,1.962e+05,6.356e+05,2.481e+06,3.312e+06
83.4,1.922e+05,6.423e+05,1.953e+06,2.787e+06
85.0,1.941e+05,6.584e+05,1.649e+06,2.501e+06
86.5,1.952e+05,6.955e+05,1.477e+06,2.368e+06
88.1,1.918e+05,7.713e+05,1.401e+06,2.364e+06
89.6,1.750e+05,8.347e+05,1.312e+06,2.321e+06
91.2,1.510e+05,8.693e+05,1.200e+06,2.220e+06
92.7,1.290e+05,8.765e+05,1.097e+06,2.103e+06
94.3,9.555e+04,7.867e+05,9.957e+05,1.878e+06
95.8,4.859e+04,5.575e+05,9.298e+05,1.536e+06
97.3,2.186e+04,3.712e+05,8.798e+05,1.273e+06
98.9,1.683e+04,2.878e+05,7.985e+05,1.103e+06
100.4,1.557e+04,2.309e+05,7.235e+05,9.699e+05
102.0,9.985e+03,1.872e+05,6.466e+05,8.438e+05
103.5,8.694e+03,1.506e+05,5.562e+05,7.155e+05
105.1,9.166e+03,1.170e+05,4.467e+05,5.728e+05
106.6,9.175e+03,9.985e+04,3.965e+05,5.055e+05
108.2,9.643e+03,9.402e+04,3.745e+05,4.782e+05
109.7,1.115e+04,9.461e+04,3.572e+05,4.630e+05
111.3,1.097e+04,9.588e+04,3.358e+05,4.427e+05
112.8,1.040e+04,9.542e+04,3.153e+05,4.211e+05
114.3,9.217e+03,8.998e+04,3.007e+05,3.999e+05
115.9,9.742e+03,8.148e+04,3.018e+05,3.930e+05
117.4,1.020e+04,6.856e+04,3.037e+05,3.825e+05
119.0,1.280e+04,5.662e+04,3.020e+05,3.715e+05
120.5,1.761e+04,4.825e+04,3.008e+05,3.667e+05
122.1,2.249e+04,4.210e+04,2.975e+05,3.621e+05
123.6,2.554e+04,3.513e+04,2.909e+05,3.516e+05
125.2,2.953e+04,2.712e+04,2.771e+05,3.337e+05
126.7,3.530e+04,2.694e+04,2.663e+05,3.286e+05
128.2,4.671e+04,3.693e+04,2.766e+05,3.602e+05
129.8,4.768e+04,4.590e+04,2.928e+05,3.864e+05
131.3,3.696e+04,5.683e+04,3.129e+05,4.067e+05
132.9,1.982e+04,3.979e+04,1.916e+05,2.512e+05
134.4,8.853e+03,1.602e+04,2.976e+04,5.464e+04
136.0,5.986e+03,1.560e+04,1.397e+04,3.555e+04
137.5,5.425e+03,1.824e+04,1.377e+04,3.743e+04
139.1,5.003e+03,1.986e+04,1.300e+04,3.787e+04
140.6,4.099e+03,1.839e+04,1.305e+04,3.554e+04
142.2,3.897e+03,1.892e+04,1.391e+04,3.672e+04
143.7,3.161e+03,1.549e+04,1.537e+04,3.402e+04
145.2,2.161e+03,9.108e+03,1.601e+04,2.728e+04
146.8,1.550e+03,5.358e+03,1.516e+04,2.207e+04
148.3,1.167e+03,4.072e+03,1.364e+04,1.888e+04
149.9,9.523e+02,3.778e+03,1.228e+04,1.701e+04
151.4,9.177e+02,3.180e+03,9.761e+03,1.386e+04
153.0,1.048e+03,3.202e+03,8.567e+03,1.282e+04
154.5,1.096e+03,3.136e+03,9.832e+03,1.406e+04
156.1,1.301e+03,2.516e+03,1.126e+04,1.507e+04
157.6,1.450e+03,2.279e+03,9.889e+03,1.362e+04
159.2,1.521e+03,2.404e+03,7.834e+03,1.176e+04
160.7,1.773e+03,2.419e+03,7.874e+03,1.207e+04
162.2,1.854e+03,2.660e+03,7.987e+03,1.250e+04
163.8,1.840e+03,3.297e+03,6.583e+03,1.172e+04
165.3,1.678e+03,3.993e+03,5.624e+03,1.129e+04
